"fns_chr","title_chr","desc_chr","details_chr","inc_for_main_user_lgl","output_chr","example_lgl","args_ls","file_nm_chr","file_pfx_chr"
"plot_lnr_cmprsn_sctr_plt","Plot lnr cmprsn sctr plt","plot_lnr_cmprsn_sctr_plt() is a Plot function that plots data Specifically, this function implements an algorithm to plot lnr cmprsn sctr plt. The function is called for its side effects and does not return a value.",NA,FALSE,"NULL",FALSE,"c(tfd_data_tb = ""Transformed data (a tibble)"", dep_var_nm_1L_chr = ""Dep var name (a character vector of length one)"", predd_val_var_nm_1L_chr = ""Predd value var name (a character vector of length one)"")","plot.R","fn_"
"plot_obsd_predd_dnst","Plot obsd predd dnst","plot_obsd_predd_dnst() is a Plot function that plots data Specifically, this function implements an algorithm to plot obsd predd dnst. The function is called for its side effects and does not return a value.",NA,FALSE,"NULL",FALSE,"c(tfd_data_tb = ""Transformed data (a tibble)"", dep_var_desc_1L_chr = ""Dep var description (a character vector of length one)"", predd_val_var_nm_1L_chr = ""Predd value var name (a character vector of length one)"")","plot.R","fn_"
"plot_obsd_predd_sctr","Plot obsd predd sctr","plot_obsd_predd_sctr() is a Plot function that plots data Specifically, this function implements an algorithm to plot obsd predd sctr. The function is called for its side effects and does not return a value.",NA,FALSE,"NULL",FALSE,"c(tfd_data_tb = ""Transformed data (a tibble)"", dep_var_nm_1L_chr = ""Dep var name (a character vector of length one)"", dep_var_desc_1L_chr = ""Dep var description (a character vector of length one)"", round_var_nm_1L_chr = ""Round var name (a character vector of length one)"", args_ls = ""Arguments (a list)"", predd_val_var_nm_1L_chr = ""Predd value var name (a character vector of length one)"")","plot.R","fn_"
"predict_from_mdl_coefs","Predict from mdl coefs","predict_from_mdl_coefs() is a Predict function that makes predictions from data using a specified statistical model. Specifically, this function implements an algorithm to predict from mdl coefs. Function argument smry_of_mdl_tb specifies the predict The function returns Pred (a double vector).",NA,FALSE,"Pred (a double vector)",FALSE,"c(smry_of_mdl_tb = ""Smry of mdl (a tibble)"", new_data_tb = ""New data (a tibble)"")","predict.R","fn_"
"print_all_plts_for_mdl_set","Print all plts for mdl set","print_all_plts_for_mdl_set() is a Print function that prints output to console Specifically, this function implements an algorithm to print all plts for mdl set. The function is called for its side effects and does not return a value.",NA,FALSE,"NULL",FALSE,"c(output_ls = ""Output (a list)"", start_from_1L_int = ""Start from (an integer vector of length one)"")","print.R","fn_"
"print_table_xx","Print table","print_table_xx() is a Print function that prints output to console Specifically, this function implements an algorithm to print table output object of multiple potential types. The function is called for its side effects and does not return a value.",NA,FALSE,"NULL",FALSE,"c(data_tb = ""Data (a tibble)"", output_type_1L_chr = ""Output type (a character vector of length one)"", caption_1L_chr = ""Caption (a character vector of length one)"", footnotes_chr = ""Footnotes (a character vector)"", merge_row_idx_int = ""Merge row index (an integer vector)"", digits_dbl = ""Digits (a double vector)"", big_mark_1L_chr = ""Big mark (a character vector of length one)"", label = ""NO MATCH"", hline.after = ""NO MATCH"", addtorow = ""NO MATCH"", sanitize_fn = ""Sanitize (a function)"")","print.R","fn_"
"print_ts_mdl_plts","Print ts mdl plts","print_ts_mdl_plts() is a Print function that prints output to console Specifically, this function implements an algorithm to print ts mdl plts. The function is called for its side effects and does not return a value.",NA,FALSE,"NULL",FALSE,"c(paths_to_plts_chr = ""Paths to plts (a character vector)"", title_1L_chr = ""Title (a character vector of length one)"", label_refs_chr = ""Label references (a character vector)"", mdl_smry_ls = ""Mdl smry (a list)"")","print.R","fn_"
"randomise_changes_in_fct_levs","Randomise changes in factor levels","randomise_changes_in_fct_levs() is a Randomise function that randomly samples from data. Specifically, this function implements an algorithm to randomise changes in factor levels. The function is called for its side effects and does not return a value.",NA,TRUE,"NULL",FALSE,"c(vector_fct = ""Vector (a factor)"", prob_unchanged_dbl = ""Prob unchanged (a double vector)"")","randomise.R","fn_"
"reorder_cndt_predrs_chr","Reorder cndt predrs","reorder_cndt_predrs_chr() is a Reorder function that reorders an object to conform to a pre-specified schema. Specifically, this function implements an algorithm to reorder cndt predrs character vector. The function is called for its side effects and does not return a value.",NA,FALSE,"NULL",FALSE,"c(candidate_predrs_chr = ""Candidate predrs (a character vector)"", data_tb = ""Data (a tibble)"", dep_var_nm_1L_chr = ""Dep var name (a character vector of length one)"", method_1L_chr = ""Method (a character vector of length one)"")","reorder.R","fn_"
"reorder_tbs_for_target_cors","Reorder tibbles for target cors","reorder_tbs_for_target_cors() is a Reorder function that reorders an object to conform to a pre-specified schema. Specifically, this function implements an algorithm to reorder tibbles for target cors. The function returns Tibbles (a list).",NA,TRUE,"Tibbles (a list)",FALSE,"c(tbs_ls = ""Tibbles (a list)"", cor_dbl = ""Cor (a double vector)"", cor_var_chr = ""Cor var (a character vector)"", id_var_to_rm_1L_chr = ""Id var to rm (a character vector of length one)"")","reorder.R","fn_"
"replace_with_missing_vals","Replace with missing values","replace_with_missing_vals() is a Replace function that edits an object, replacing a specified element with another specified element. Specifically, this function implements an algorithm to replace with missing values. Function argument data_tbl specifies the object to be updated. Argument synth_data_spine_ls provides the object to be updated. The function is called for its side effects and does not return a value.",NA,TRUE,"NULL",FALSE,"c(data_tbl = ""NO MATCH"", synth_data_spine_ls = ""Synth data spine (a list)"", idx_int = ""Index (an integer vector)"")","replace.R","fn_"
"scramble_xx","Scramble","scramble_xx() is a Scramble function that randomly reorders an object. Specifically, this function implements an algorithm to scramble output object of multiple potential types. The function returns Scrambled vec (an output object of multiple potential types).",NA,TRUE,"Scrambled vec (an output object of multiple potential types)",FALSE,"Vector (an output object of multiple potential types)","scramble.R","fn_"
"transform_ds_for_tstng","Transform dataset for tstng","transform_ds_for_tstng() is a Transform function that edits an object in such a way that core object attributes - e.g. shape, dimensions, elements, type - are altered. Specifically, this function implements an algorithm to transform dataset for tstng. Function argument data_tb specifies the object to be updated. Argument dep_var_nm_1L_chr provides the object to be updated. The function returns Transformed data (a tibble).",NA,FALSE,"Tfd data (a tibble)",FALSE,"c(data_tb = ""Data (a tibble)"", dep_var_nm_1L_chr = ""Dep var name (a character vector of length one)"", dep_var_max_val_1L_dbl = ""Dep var max value (a double vector of length one)"", candidate_predrs_chr = ""Candidate predrs (a character vector)"", covar_var_nms_chr = ""Covar var names (a character vector)"", round_var_nm_1L_chr = ""Round var name (a character vector of length one)"", round_val_1L_chr = ""Round value (a character vector of length one)"", remove_all_mssng_1L_lgl = ""Remove all mssng (a logical vector of length one)""
)","transform.R","fn_"
"transform_raw_aqol_tb_to_aqol6d_tb","Transform raw Assessment of Quality of Life tibble to Assessment of Quality of Life Six Dimension","transform_raw_aqol_tb_to_aqol6d_tb() is a Transform function that edits an object in such a way that core object attributes - e.g. shape, dimensions, elements, type - are altered. Specifically, this function implements an algorithm to transform raw assessment of quality of life tibble to assessment of quality of life six dimension tibble. Function argument raw_aqol_tb specifies the object to be updated. The function returns Assessment of Quality of Life Six Dimension (a tibble).",NA,TRUE,"Aqol6d (a tibble)",FALSE,"Raw Assessment of Quality of Life (a tibble)","transform.R","fn_"
"transform_ts_mdl_data","Transform ts mdl data","transform_ts_mdl_data() is a Transform function that edits an object in such a way that core object attributes - e.g. shape, dimensions, elements, type - are altered. Specifically, this function implements an algorithm to transform ts mdl data. Function argument mdl_ls specifies the object to be updated. Argument data_tb provides the object to be updated. The function returns Cnfdl mdl (a list).",NA,FALSE,"Cnfdl mdl (a list)",FALSE,"c(mdl_ls = ""Mdl (a list)"", data_tb = ""Data (a tibble)"", dep_var_nm_1L_chr = ""Dep var name (a character vector of length one)"", predr_vars_nms_chr = ""Predr vars names (a character vector)"", id_var_nm_1L_chr = ""Id var name (a character vector of length one)"", mdl_nm_1L_chr = ""Mdl name (a character vector of length one)"")","transform.R","fn_"
"write_box_cox_tfmn","Write box cox tfmn","write_box_cox_tfmn() is a Write function that writes a file to a specified local directory. Specifically, this function implements an algorithm to write box cox tfmn. The function returns Path to plot (a character vector of length one).",NA,FALSE,"Path to plot (a character vector of length one)",FALSE,"c(data_tb = ""Data (a tibble)"", predr_var_nm_1L_chr = ""Predr var name (a character vector of length one)"", path_to_write_to_1L_chr = ""Path to write to (a character vector of length one)"", dep_var_nm_1L_chr = ""Dep var name (a character vector of length one)"", covar_var_nms_chr = ""Covar var names (a character vector)"", fl_nm_pfx_1L_chr = ""File name prefix (a character vector of length one)"", height_1L_dbl = ""Height (a double vector of length one)"", width_1L_dbl = ""Width (a double vector of length one)"", 
start_1L_chr = ""Start (a character vector of length one)"", mdl_types_lup = ""Mdl types (a lookup table)"")","write.R","fn_"
"write_results_to_csv","Write results to comma separated variables file","write_results_to_csv() is a Write function that writes a file to a specified local directory. Specifically, this function implements an algorithm to write results to comma separated variables file. The function returns Datasets (a tibble).",NA,TRUE,"Datasets (a tibble)",FALSE,"c(synth_data_spine_ls = ""Synth data spine (a list)"", output_dir_1L_chr = ""Output directory (a character vector of length one)"")","write.R","fn_"
"write_rndrd_rprt","Write rndrd rprt","write_rndrd_rprt() is a Write function that writes a file to a specified local directory. Specifically, this function implements an algorithm to write rndrd rprt. The function is called for its side effects and does not return a value. WARNING: This function writes R scripts to your local environment. Make sure to only use if you want this behaviour",NA,FALSE,"NULL",FALSE,"c(path_to_RMD_dir_1L_chr = ""Path toMD directory (a character vector of length one)"", nm_of_RMD_1L_chr = ""Name ofMD (a character vector of length one)"", params_ls = ""Params (a list)"", rltv_path_to_outpt_yaml_1L_chr = ""Rltv path to outpt yaml (a character vector of length one)"", paths_to_fls_to_copy_chr = ""Paths to files to copy (a character vector)"", path_to_write_fls_to_1L_chr = ""Path to write files to (a character vector of length one)"", nm_of_rprt_dir_1L_chr = ""Name of rprt directory (a character vector of length one)"", 
path_to_outpt_rtrp_1L_chr = ""Path to outpt rtrp (a character vector of length one)"", file_nm_1L_chr = ""File name (a character vector of length one)"", overwrite_1L_lgl = ""Overwrite (a logical vector of length one)"")","write.R","fn_"
